#doc source pos typeindex type topic
#alpha : 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 
#beta : 0.01
1 sample-data/web/de/fiv.txt 0 82 das 9
1 sample-data/web/de/fiv.txt 1 83 feline 9
1 sample-data/web/de/fiv.txt 2 84 immundefizienz 9
1 sample-data/web/de/fiv.txt 3 85 virus 9
1 sample-data/web/de/fiv.txt 4 86 fiv 9
1 sample-data/web/de/fiv.txt 5 87 ist 5
1 sample-data/web/de/fiv.txt 6 75 ein 6
1 sample-data/web/de/fiv.txt 7 85 virus 9
1 sample-data/web/de/fiv.txt 8 55 aus 5
1 sample-data/web/de/fiv.txt 9 2 der 5
1 sample-data/web/de/fiv.txt 10 88 familie 9
1 sample-data/web/de/fiv.txt 11 2 der 5
1 sample-data/web/de/fiv.txt 12 89 retroviren 2
1 sample-data/web/de/fiv.txt 13 82 das 9
1 sample-data/web/de/fiv.txt 14 85 virus 9
1 sample-data/web/de/fiv.txt 15 90 st 9
1 sample-data/web/de/fiv.txt 16 91 bei 9
1 sample-data/web/de/fiv.txt 17 92 katzen 9
1 sample-data/web/de/fiv.txt 18 93 eine 9
1 sample-data/web/de/fiv.txt 19 94 immunschw 9
1 sample-data/web/de/fiv.txt 20 95 chekrankheit 9
1 sample-data/web/de/fiv.txt 21 55 aus 5
1 sample-data/web/de/fiv.txt 22 20 die 6
1 sample-data/web/de/fiv.txt 23 62 als 6
1 sample-data/web/de/fiv.txt 24 96 felines 9
1 sample-data/web/de/fiv.txt 25 97 immundefizienzsyndrom 9
1 sample-data/web/de/fiv.txt 26 98 oder 9
1 sample-data/web/de/fiv.txt 27 99 umgangssprachlich 9
1 sample-data/web/de/fiv.txt 28 62 als 6
1 sample-data/web/de/fiv.txt 29 92 katzen 9
1 sample-data/web/de/fiv.txt 30 100 aids 9
1 sample-data/web/de/fiv.txt 31 101 bezeichnet 9
1 sample-data/web/de/fiv.txt 32 102 wird 9
1 sample-data/web/de/fiv.txt 33 103 da 5
1 sample-data/web/de/fiv.txt 34 104 sie 9
1 sample-data/web/de/fiv.txt 35 2 der 5
1 sample-data/web/de/fiv.txt 36 105 erkrankung 3
1 sample-data/web/de/fiv.txt 37 100 aids 9
1 sample-data/web/de/fiv.txt 38 106 beim 9
1 sample-data/web/de/fiv.txt 39 31 menschen 2
1 sample-data/web/de/fiv.txt 40 107 stark 7
1 sample-data/web/de/fiv.txt 41 108 hnelt 7
1 sample-data/web/de/fiv.txt 42 31 menschen 2
1 sample-data/web/de/fiv.txt 43 109 nnen 9
1 sample-data/web/de/fiv.txt 44 110 sich 5
1 sample-data/web/de/fiv.txt 45 111 jedoch 9
1 sample-data/web/de/fiv.txt 46 32 mit 5
1 sample-data/web/de/fiv.txt 47 86 fiv 9
1 sample-data/web/de/fiv.txt 48 112 nicht 9
1 sample-data/web/de/fiv.txt 49 113 infizieren 9
1 sample-data/web/de/fiv.txt 50 86 fiv 9
1 sample-data/web/de/fiv.txt 51 114 geh 9
1 sample-data/web/de/fiv.txt 52 115 rt 9
1 sample-data/web/de/fiv.txt 53 116 innerhalb 3
1 sample-data/web/de/fiv.txt 54 2 der 5
1 sample-data/web/de/fiv.txt 55 89 retroviren 2
1 sample-data/web/de/fiv.txt 56 73 zur 9
1 sample-data/web/de/fiv.txt 57 117 gattung 0
1 sample-data/web/de/fiv.txt 58 2 der 5
1 sample-data/web/de/fiv.txt 59 118 lentiviren 2
1 sample-data/web/de/fiv.txt 60 9 und 5
1 sample-data/web/de/fiv.txt 61 119 wurde 5
1 sample-data/web/de/fiv.txt 62 120 vier 2
1 sample-data/web/de/fiv.txt 63 121 jahre 9
1 sample-data/web/de/fiv.txt 64 65 nach 5
1 sample-data/web/de/fiv.txt 65 2 der 5
1 sample-data/web/de/fiv.txt 66 122 entdeckung 9
1 sample-data/web/de/fiv.txt 67 6 des 6
1 sample-data/web/de/fiv.txt 68 123 humanen 0
1 sample-data/web/de/fiv.txt 69 84 immundefizienz 9
1 sample-data/web/de/fiv.txt 70 85 virus 9
1 sample-data/web/de/fiv.txt 71 124 hiv 9
1 sample-data/web/de/fiv.txt 72 12 zum 5
1 sample-data/web/de/fiv.txt 73 30 ersten 6
1 sample-data/web/de/fiv.txt 74 125 mal 8
1 sample-data/web/de/fiv.txt 75 126 beschrieben 2
1 sample-data/web/de/fiv.txt 76 20 die 6
1 sample-data/web/de/fiv.txt 77 105 erkrankung 3
1 sample-data/web/de/fiv.txt 78 87 ist 5
1 sample-data/web/de/fiv.txt 79 127 bisher 9
1 sample-data/web/de/fiv.txt 80 112 nicht 9
1 sample-data/web/de/fiv.txt 81 128 wirkungsvoll 8
1 sample-data/web/de/fiv.txt 82 129 behandelbar 6
1 sample-data/web/de/fiv.txt 83 130 verl 0
1 sample-data/web/de/fiv.txt 84 131 uft 9
1 sample-data/web/de/fiv.txt 85 132 aber 9
1 sample-data/web/de/fiv.txt 86 133 oft 9
1 sample-data/web/de/fiv.txt 87 134 ber 9
1 sample-data/web/de/fiv.txt 88 135 lange 5
1 sample-data/web/de/fiv.txt 89 136 zeit 6
1 sample-data/web/de/fiv.txt 90 137 symptomlos 9
1 sample-data/web/de/fiv.txt 91 138 langfristig 4
1 sample-data/web/de/fiv.txt 92 102 wird 9
1 sample-data/web/de/fiv.txt 93 111 jedoch 9
1 sample-data/web/de/fiv.txt 94 82 das 9
1 sample-data/web/de/fiv.txt 95 139 immunsystem 9
1 sample-data/web/de/fiv.txt 96 140 zerst 0
1 sample-data/web/de/fiv.txt 97 115 rt 9
1 sample-data/web/de/fiv.txt 98 9 und 5
1 sample-data/web/de/fiv.txt 99 141 sekund 1
1 sample-data/web/de/fiv.txt 100 142 rinfektionen 9
1 sample-data/web/de/fiv.txt 101 143 hren 9
1 sample-data/web/de/fiv.txt 102 12 zum 5
1 sample-data/web/de/fiv.txt 103 144 tod 8
1 sample-data/web/de/fiv.txt 104 127 bisher 9
1 sample-data/web/de/fiv.txt 105 145 wurden 9
1 sample-data/web/de/fiv.txt 106 146 neun 9
1 sample-data/web/de/fiv.txt 107 147 verschiedene 0
1 sample-data/web/de/fiv.txt 108 90 st 9
1 sample-data/web/de/fiv.txt 109 148 mme 0
1 sample-data/web/de/fiv.txt 110 6 des 6
1 sample-data/web/de/fiv.txt 111 85 virus 9
1 sample-data/web/de/fiv.txt 112 55 aus 5
1 sample-data/web/de/fiv.txt 113 149 elf 5
1 sample-data/web/de/fiv.txt 114 150 verschiedenen 9
1 sample-data/web/de/fiv.txt 115 151 katzenarten 6
1 sample-data/web/de/fiv.txt 116 152 isoliert 9
1 sample-data/web/de/fiv.txt 117 153 darunter 9
1 sample-data/web/de/fiv.txt 118 154 spezifische 6
1 sample-data/web/de/fiv.txt 119 90 st 9
1 sample-data/web/de/fiv.txt 120 148 mme 0
1 sample-data/web/de/fiv.txt 121 55 aus 5
1 sample-data/web/de/fiv.txt 122 155 wen 2
1 sample-data/web/de/fiv.txt 123 9 und 5
1 sample-data/web/de/fiv.txt 124 156 pumas 3
1 sample-data/web/de/fiv.txt 125 157 auch 9
1 sample-data/web/de/fiv.txt 126 2 der 5
1 sample-data/web/de/fiv.txt 127 158 pfelhy 5
1 sample-data/web/de/fiv.txt 128 159 ne 6
1 sample-data/web/de/fiv.txt 129 20 die 6
1 sample-data/web/de/fiv.txt 130 112 nicht 9
1 sample-data/web/de/fiv.txt 131 73 zur 9
1 sample-data/web/de/fiv.txt 132 88 familie 9
1 sample-data/web/de/fiv.txt 133 2 der 5
1 sample-data/web/de/fiv.txt 134 92 katzen 9
1 sample-data/web/de/fiv.txt 135 114 geh 9
1 sample-data/web/de/fiv.txt 136 115 rt 9
1 sample-data/web/de/fiv.txt 137 119 wurde 5
1 sample-data/web/de/fiv.txt 138 86 fiv 9
1 sample-data/web/de/fiv.txt 139 160 gefunden 7
1 sample-data/web/de/fiv.txt 140 161 neben 6
1 sample-data/web/de/fiv.txt 141 56 dem 9
1 sample-data/web/de/fiv.txt 142 162 felinen 9
1 sample-data/web/de/fiv.txt 143 163 coronavirus 9
1 sample-data/web/de/fiv.txt 144 56 dem 9
1 sample-data/web/de/fiv.txt 145 164 erreger 9
1 sample-data/web/de/fiv.txt 146 2 der 5
1 sample-data/web/de/fiv.txt 147 162 felinen 9
1 sample-data/web/de/fiv.txt 148 165 infekti 6
1 sample-data/web/de/fiv.txt 149 166 sen 0
1 sample-data/web/de/fiv.txt 150 167 peritonitis 1
1 sample-data/web/de/fiv.txt 151 168 fip 8
1 sample-data/web/de/fiv.txt 152 9 und 5
1 sample-data/web/de/fiv.txt 153 56 dem 9
1 sample-data/web/de/fiv.txt 154 162 felinen 9
1 sample-data/web/de/fiv.txt 155 169 leukosevirus 5
1 sample-data/web/de/fiv.txt 156 170 felv 9
1 sample-data/web/de/fiv.txt 157 56 dem 9
1 sample-data/web/de/fiv.txt 158 164 erreger 9
1 sample-data/web/de/fiv.txt 159 2 der 5
1 sample-data/web/de/fiv.txt 160 171 katzenleuk 5
1 sample-data/web/de/fiv.txt 161 172 mie 9
1 sample-data/web/de/fiv.txt 162 114 geh 9
1 sample-data/web/de/fiv.txt 163 115 rt 9
1 sample-data/web/de/fiv.txt 164 82 das 9
1 sample-data/web/de/fiv.txt 165 85 virus 9
1 sample-data/web/de/fiv.txt 166 15 zu 6
1 sample-data/web/de/fiv.txt 167 173 den 5
1 sample-data/web/de/fiv.txt 168 174 ausl 9
1 sample-data/web/de/fiv.txt 169 175 sern 9
1 sample-data/web/de/fiv.txt 170 2 der 5
1 sample-data/web/de/fiv.txt 171 176 klinisch 2
1 sample-data/web/de/fiv.txt 172 177 bedeutsamsten 4
1 sample-data/web/de/fiv.txt 173 178 viralen 9
1 sample-data/web/de/fiv.txt 174 179 infektionskrankheiten 0
1 sample-data/web/de/fiv.txt 175 91 bei 9
1 sample-data/web/de/fiv.txt 176 180 hauskatzen 9
2 sample-data/web/de/habichtsadler.txt 0 2 der 5
2 sample-data/web/de/habichtsadler.txt 1 181 habichtsadler 7
2 sample-data/web/de/habichtsadler.txt 2 182 hieraaetus 5
2 sample-data/web/de/habichtsadler.txt 3 183 fasciatus 8
2 sample-data/web/de/habichtsadler.txt 4 184 synonym 0
2 sample-data/web/de/habichtsadler.txt 5 185 aquila 7
2 sample-data/web/de/habichtsadler.txt 6 186 fasciata 2
2 sample-data/web/de/habichtsadler.txt 7 87 ist 5
2 sample-data/web/de/habichtsadler.txt 8 93 eine 1
2 sample-data/web/de/habichtsadler.txt 9 187 vogelart 0
2 sample-data/web/de/habichtsadler.txt 10 55 aus 5
2 sample-data/web/de/habichtsadler.txt 11 2 der 5
2 sample-data/web/de/habichtsadler.txt 12 88 familie 9
2 sample-data/web/de/habichtsadler.txt 13 2 der 5
2 sample-data/web/de/habichtsadler.txt 14 188 habichtartigen 5
2 sample-data/web/de/habichtsadler.txt 15 189 accipitridae 5
2 sample-data/web/de/habichtsadler.txt 16 190 dieser 6
2 sample-data/web/de/habichtsadler.txt 17 191 mittelgro 6
2 sample-data/web/de/habichtsadler.txt 18 192 kr 4
2 sample-data/web/de/habichtsadler.txt 19 193 ftige 9
2 sample-data/web/de/habichtsadler.txt 20 9 und 5
2 sample-data/web/de/habichtsadler.txt 21 194 sehr 6
2 sample-data/web/de/habichtsadler.txt 22 195 agile 4
2 sample-data/web/de/habichtsadler.txt 23 196 adler 9
2 sample-data/web/de/habichtsadler.txt 24 197 bewohnt 8
2 sample-data/web/de/habichtsadler.txt 25 198 trockene 0
2 sample-data/web/de/habichtsadler.txt 26 199 felsige 5
2 sample-data/web/de/habichtsadler.txt 27 200 regionen 9
2 sample-data/web/de/habichtsadler.txt 28 201 deuropa 7
2 sample-data/web/de/habichtsadler.txt 29 202 nordafrika 4
2 sample-data/web/de/habichtsadler.txt 30 9 und 5
2 sample-data/web/de/habichtsadler.txt 31 78 im 1
2 sample-data/web/de/habichtsadler.txt 32 173 den 6
2 sample-data/web/de/habichtsadler.txt 33 203 asiens 6
2 sample-data/web/de/habichtsadler.txt 34 76 wo 8
2 sample-data/web/de/habichtsadler.txt 35 204 er 1
2 sample-data/web/de/habichtsadler.txt 36 110 sich 5
2 sample-data/web/de/habichtsadler.txt 37 205 von 1
2 sample-data/web/de/habichtsadler.txt 38 206 kleinen 5
2 sample-data/web/de/habichtsadler.txt 39 207 bis 6
2 sample-data/web/de/habichtsadler.txt 40 191 mittelgro 6
2 sample-data/web/de/habichtsadler.txt 41 208 en 5
2 sample-data/web/de/habichtsadler.txt 42 209 wirbeltieren 4
2 sample-data/web/de/habichtsadler.txt 43 210 ern 2
2 sample-data/web/de/habichtsadler.txt 44 211 hrt 1
2 sample-data/web/de/habichtsadler.txt 45 2 der 5
2 sample-data/web/de/habichtsadler.txt 46 212 bestand 6
2 sample-data/web/de/habichtsadler.txt 47 6 des 6
2 sample-data/web/de/habichtsadler.txt 48 213 habichtsadlers 6
2 sample-data/web/de/habichtsadler.txt 49 87 ist 5
2 sample-data/web/de/habichtsadler.txt 50 201 deuropa 7
2 sample-data/web/de/habichtsadler.txt 51 214 vor 5
2 sample-data/web/de/habichtsadler.txt 52 215 allem 8
2 sample-data/web/de/habichtsadler.txt 53 216 aufgrund 1
2 sample-data/web/de/habichtsadler.txt 54 217 illegaler 5
2 sample-data/web/de/habichtsadler.txt 55 218 verfolgung 9
2 sample-data/web/de/habichtsadler.txt 56 219 seit 5
2 sample-data/web/de/habichtsadler.txt 57 220 jahrzehnten 8
2 sample-data/web/de/habichtsadler.txt 58 221 ckl 1
2 sample-data/web/de/habichtsadler.txt 59 222 ufig 8
2 sample-data/web/de/habichtsadler.txt 60 223 daher 5
2 sample-data/web/de/habichtsadler.txt 61 224 gilt 1
2 sample-data/web/de/habichtsadler.txt 62 20 die 6
2 sample-data/web/de/habichtsadler.txt 63 225 art 4
2 sample-data/web/de/habichtsadler.txt 64 226 hier 9
2 sample-data/web/de/habichtsadler.txt 65 62 als 6
2 sample-data/web/de/habichtsadler.txt 66 107 stark 7
2 sample-data/web/de/habichtsadler.txt 67 227 gef 2
2 sample-data/web/de/habichtsadler.txt 68 228 hrdet 9
3 sample-data/web/de/hoechst.txt 0 229 chst 5
3 sample-data/web/de/hoechst.txt 1 230 main 5
3 sample-data/web/de/hoechst.txt 2 87 ist 5
3 sample-data/web/de/hoechst.txt 3 75 ein 6
3 sample-data/web/de/hoechst.txt 4 231 stadtteil 5
3 sample-data/web/de/hoechst.txt 5 205 von 1
3 sample-data/web/de/hoechst.txt 6 232 frankfurt 5
3 sample-data/web/de/hoechst.txt 7 230 main 5
3 sample-data/web/de/hoechst.txt 8 233 hat 6
3 sample-data/web/de/hoechst.txt 9 234 etwa 6
3 sample-data/web/de/hoechst.txt 10 235 einwohner 8
3 sample-data/web/de/hoechst.txt 11 236 stand 9
3 sample-data/web/de/hoechst.txt 12 39 dezember 6
3 sample-data/web/de/hoechst.txt 13 9 und 5
3 sample-data/web/de/hoechst.txt 14 237 liegt 5
3 sample-data/web/de/hoechst.txt 15 238 rund 0
3 sample-data/web/de/hoechst.txt 16 66 zehn 8
3 sample-data/web/de/hoechst.txt 17 239 kilometer 3
3 sample-data/web/de/hoechst.txt 18 240 westlich 8
3 sample-data/web/de/hoechst.txt 19 2 der 5
3 sample-data/web/de/hoechst.txt 20 241 frankfurter 9
3 sample-data/web/de/hoechst.txt 21 242 innenstadt 5
3 sample-data/web/de/hoechst.txt 22 2 der 5
3 sample-data/web/de/hoechst.txt 23 243 ndung 4
3 sample-data/web/de/hoechst.txt 24 2 der 5
3 sample-data/web/de/hoechst.txt 25 244 nidda 6
3 sample-data/web/de/hoechst.txt 26 173 den 6
3 sample-data/web/de/hoechst.txt 27 230 main 5
3 sample-data/web/de/hoechst.txt 28 229 chst 5
3 sample-data/web/de/hoechst.txt 29 1 war 1
3 sample-data/web/de/hoechst.txt 30 78 im 1
3 sample-data/web/de/hoechst.txt 31 245 gegensatz 4
3 sample-data/web/de/hoechst.txt 32 15 zu 6
3 sample-data/web/de/hoechst.txt 33 173 den 6
3 sample-data/web/de/hoechst.txt 34 246 meisten 5
3 sample-data/web/de/hoechst.txt 35 17 anderen 2
3 sample-data/web/de/hoechst.txt 36 247 stadtteilen 3
3 sample-data/web/de/hoechst.txt 37 93 eine 9
3 sample-data/web/de/hoechst.txt 38 248 alte 6
3 sample-data/web/de/hoechst.txt 39 249 stadt 5
3 sample-data/web/de/hoechst.txt 40 32 mit 5
3 sample-data/web/de/hoechst.txt 41 250 stadtrecht 2
3 sample-data/web/de/hoechst.txt 42 219 seit 5
3 sample-data/web/de/hoechst.txt 43 9 und 5
3 sample-data/web/de/hoechst.txt 44 87 ist 5
3 sample-data/web/de/hoechst.txt 45 207 bis 6
3 sample-data/web/de/hoechst.txt 46 251 heute 5
3 sample-data/web/de/hoechst.txt 47 82 das 9
3 sample-data/web/de/hoechst.txt 48 252 wichtigste 6
3 sample-data/web/de/hoechst.txt 49 90 st 9
3 sample-data/web/de/hoechst.txt 50 253 dtische 6
3 sample-data/web/de/hoechst.txt 51 254 subzentrum 5
3 sample-data/web/de/hoechst.txt 52 78 im 1
3 sample-data/web/de/hoechst.txt 53 241 frankfurter 9
3 sample-data/web/de/hoechst.txt 54 255 westen 6
3 sample-data/web/de/hoechst.txt 55 119 wurde 5
3 sample-data/web/de/hoechst.txt 56 229 chst 5
3 sample-data/web/de/hoechst.txt 57 65 nach 5
3 sample-data/web/de/hoechst.txt 58 232 frankfurt 5
3 sample-data/web/de/hoechst.txt 59 256 eingemeindet 1
3 sample-data/web/de/hoechst.txt 60 207 bis 6
3 sample-data/web/de/hoechst.txt 61 1 war 1
3 sample-data/web/de/hoechst.txt 62 229 chst 5
3 sample-data/web/de/hoechst.txt 63 257 verwaltungssitz 9
3 sample-data/web/de/hoechst.txt 64 258 eines 1
3 sample-data/web/de/hoechst.txt 65 33 eigenen 1
3 sample-data/web/de/hoechst.txt 66 259 landkreises 9
3 sample-data/web/de/hoechst.txt 67 2 der 5
3 sample-data/web/de/hoechst.txt 68 219 seit 5
3 sample-data/web/de/hoechst.txt 69 173 den 6
3 sample-data/web/de/hoechst.txt 70 260 namen 1
3 sample-data/web/de/hoechst.txt 71 230 main 5
3 sample-data/web/de/hoechst.txt 72 261 taunus 9
3 sample-data/web/de/hoechst.txt 73 262 kreis 7
3 sample-data/web/de/hoechst.txt 74 263 tr 1
3 sample-data/web/de/hoechst.txt 75 264 gt 6
3 sample-data/web/de/hoechst.txt 76 229 chst 5
3 sample-data/web/de/hoechst.txt 77 87 ist 5
3 sample-data/web/de/hoechst.txt 78 265 zentrum 3
3 sample-data/web/de/hoechst.txt 79 6 des 6
3 sample-data/web/de/hoechst.txt 80 266 ortsbezirks 5
3 sample-data/web/de/hoechst.txt 81 232 frankfurt 5
3 sample-data/web/de/hoechst.txt 82 267 west 3
3 sample-data/web/de/hoechst.txt 83 32 mit 5
3 sample-data/web/de/hoechst.txt 84 268 einwohnern 4
3 sample-data/web/de/hoechst.txt 85 2 der 5
3 sample-data/web/de/hoechst.txt 86 229 chst 5
3 sample-data/web/de/hoechst.txt 87 119 wurde 5
3 sample-data/web/de/hoechst.txt 88 269 durch 5
3 sample-data/web/de/hoechst.txt 89 20 die 6
3 sample-data/web/de/hoechst.txt 90 270 hoechst 9
3 sample-data/web/de/hoechst.txt 91 271 ag 8
3 sample-data/web/de/hoechst.txt 92 272 weltweit 1
3 sample-data/web/de/hoechst.txt 93 273 bekannt 5
3 sample-data/web/de/hoechst.txt 94 32 mit 5
3 sample-data/web/de/hoechst.txt 95 274 einer 1
3 sample-data/web/de/hoechst.txt 96 275 unterbrechung 5
3 sample-data/web/de/hoechst.txt 97 205 von 1
3 sample-data/web/de/hoechst.txt 98 276 jahren 1
3 sample-data/web/de/hoechst.txt 99 277 zwischen 1
3 sample-data/web/de/hoechst.txt 100 9 und 5
3 sample-data/web/de/hoechst.txt 101 1 war 1
3 sample-data/web/de/hoechst.txt 102 229 chst 5
3 sample-data/web/de/hoechst.txt 103 278 sitz 7
3 sample-data/web/de/hoechst.txt 104 6 des 6
3 sample-data/web/de/hoechst.txt 105 279 chemie 6
3 sample-data/web/de/hoechst.txt 106 9 und 5
3 sample-data/web/de/hoechst.txt 107 280 pharmakonzerns 6
3 sample-data/web/de/hoechst.txt 108 281 dessen 7
3 sample-data/web/de/hoechst.txt 109 282 ehemaliges 9
3 sample-data/web/de/hoechst.txt 110 283 stammwerk 6
3 sample-data/web/de/hoechst.txt 111 87 ist 5
3 sample-data/web/de/hoechst.txt 112 251 heute 5
3 sample-data/web/de/hoechst.txt 113 62 als 6
3 sample-data/web/de/hoechst.txt 114 284 industriepark 5
3 sample-data/web/de/hoechst.txt 115 229 chst 5
3 sample-data/web/de/hoechst.txt 116 274 einer 1
3 sample-data/web/de/hoechst.txt 117 2 der 5
3 sample-data/web/de/hoechst.txt 118 285 gr 7
3 sample-data/web/de/hoechst.txt 119 286 ten 4
3 sample-data/web/de/hoechst.txt 120 287 industriestandorte 1
3 sample-data/web/de/hoechst.txt 121 288 deutschlands 9
3 sample-data/web/de/hoechst.txt 122 289 bedeutendstes 5
